subj_role,subj_department,subj_clearance,subj_years_exp,subj_cert_active,subj_age,obj_type,obj_sensitivity,obj_department,obj_contains_pii,env_hour,env_is_emergency,env_location,env_access_freq_last_hour,action,decision
doctor,general,2,14,True,28,medical_image,5,admin_office,True,13,True,hospital_network,13,write,ALLOW
doctor,admin_office,2,34,False,36,billing,3,general,False,0,False,hospital_network,44,share,DENY
nurse,oncology,3,6,True,46,medical_record,4,oncology,True,9,False,hospital_network,17,read,ALLOW
patient,admin_office,2,4,True,64,lab_result,3,cardiology,False,3,False,remote,40,delete,DENY
patient,oncology,3,4,True,56,medical_record,3,oncology,True,8,False,office_network,7,write,DENY
researcher,research,1,13,False,35,medical_image,4,research,False,20,False,remote,8,write,DENY
admin,admin_office,5,27,False,45,lab_result,2,admin_office,True,1,False,hospital_network,40,write,DENY
researcher,research,1,24,False,60,billing,3,general,False,0,False,hospital_network,43,delete,DENY
patient,cardiology,3,27,True,51,medical_record,5,general,False,5,False,hospital_network,40,delete,DENY
admin,admin_office,2,9,False,32,research_data,4,cardiology,True,15,True,remote,19,write,DENY
admin,admin_office,1,31,True,56,billing,2,admin_office,False,11,False,office_network,17,write,ALLOW
pharmacist,general,4,23,False,55,billing,1,oncology,True,10,True,office_network,14,write,DENY
pharmacist,cardiology,2,4,True,43,prescription,5,cardiology,True,17,False,office_network,15,read,ALLOW
researcher,research,1,6,False,44,research_data,2,research,False,8,False,office_network,12,write,DENY
doctor,oncology,2,12,False,30,billing,1,general,True,2,False,office_network,6,read,DENY
admin,admin_office,1,15,True,48,billing,2,oncology,False,1,False,hospital_network,24,delete,DENY
researcher,research,4,35,False,31,lab_result,3,oncology,False,18,False,hospital_network,47,delete,DENY
admin,admin_office,5,33,True,25,billing,2,admin_office,True,17,False,remote,7,read,ALLOW
doctor,research,5,36,False,38,prescription,4,research,True,13,False,remote,2,read,DENY
admin,admin_office,1,34,True,54,prescription,2,general,False,7,False,hospital_network,28,delete,DENY
pharmacist,admin_office,1,35,False,64,medical_record,3,general,True,3,False,hospital_network,17,delete,DENY
pharmacist,general,2,40,False,54,billing,2,cardiology,True,13,False,hospital_network,0,delete,DENY
pharmacist,general,2,28,False,57,medical_record,3,cardiology,False,22,False,office_network,2,delete,DENY
nurse,research,2,2,False,45,medical_record,4,oncology,True,21,True,office_network,26,write,DENY
nurse,oncology,2,26,True,33,medical_image,4,research,False,23,False,remote,10,read,DENY
doctor,research,2,12,False,44,lab_result,2,research,True,12,False,hospital_network,11,write,ALLOW
admin,admin_office,1,7,False,33,billing,3,admin_office,True,17,False,remote,16,read,DENY
nurse,general,1,27,True,55,research_data,4,oncology,True,2,False,remote,39,delete,DENY
doctor,general,5,19,False,42,billing,3,general,True,6,False,remote,43,write,DENY
patient,research,5,0,False,40,lab_result,3,admin_office,True,10,False,remote,43,write,DENY
pharmacist,oncology,1,18,False,27,lab_result,4,general,True,6,True,hospital_network,15,share,DENY
doctor,research,4,40,True,46,billing,2,oncology,True,22,True,hospital_network,49,share,DENY
pharmacist,admin_office,4,3,True,29,prescription,1,admin_office,True,14,False,office_network,17,read,ALLOW
researcher,research,3,15,False,55,research_data,3,research,False,13,False,remote,17,read,DENY
researcher,research,2,4,False,48,research_data,4,research,False,8,False,office_network,18,read,ALLOW
patient,general,4,26,True,53,medical_record,2,general,True,10,False,remote,14,share,DENY
admin,admin_office,4,37,True,27,medical_image,4,oncology,False,5,True,remote,20,write,DENY
patient,research,3,26,False,27,medical_record,1,research,True,8,True,office_network,7,read,ALLOW
nurse,oncology,2,30,True,58,medical_record,3,oncology,False,9,False,office_network,5,share,DENY
doctor,general,5,24,False,34,medical_image,5,general,True,17,False,hospital_network,1,read,ALLOW
patient,cardiology,5,21,True,48,medical_record,3,cardiology,False,18,False,office_network,8,write,DENY
researcher,research,4,37,False,42,lab_result,2,general,False,7,False,office_network,39,share,DENY
researcher,research,2,31,True,44,research_data,3,research,False,11,True,hospital_network,13,read,ALLOW
pharmacist,research,4,28,True,27,prescription,2,research,True,9,False,remote,30,delete,DENY
pharmacist,admin_office,3,22,False,39,prescription,3,admin_office,True,10,True,office_network,6,read,ALLOW
pharmacist,admin_office,5,38,False,28,prescription,3,admin_office,True,8,False,hospital_network,1,read,ALLOW
nurse,research,1,0,False,52,billing,2,general,True,1,False,remote,7,read,DENY
doctor,admin_office,1,9,True,58,prescription,2,admin_office,True,16,False,office_network,12,read,ALLOW
admin,admin_office,3,36,True,61,billing,3,admin_office,True,16,True,hospital_network,2,read,ALLOW
pharmacist,admin_office,4,18,True,36,prescription,4,admin_office,False,18,False,remote,18,write,DENY
researcher,research,5,14,True,39,lab_result,2,cardiology,True,9,False,office_network,18,share,DENY
pharmacist,general,4,17,False,50,prescription,5,general,False,18,False,hospital_network,18,read,ALLOW
pharmacist,general,5,2,True,52,prescription,4,general,False,15,False,remote,11,read,ALLOW
doctor,oncology,3,26,False,40,medical_record,4,oncology,True,14,False,hospital_network,16,write,ALLOW
admin,admin_office,4,3,True,55,billing,4,admin_office,True,15,False,hospital_network,15,read,ALLOW
admin,admin_office,2,19,True,57,billing,1,oncology,False,3,False,hospital_network,41,write,DENY
pharmacist,general,5,17,False,52,prescription,1,general,True,10,False,office_network,2,read,ALLOW
researcher,research,5,17,True,40,medical_image,4,admin_office,True,21,False,hospital_network,28,share,DENY
admin,admin_office,4,29,False,34,billing,3,admin_office,True,14,False,remote,12,share,DENY
pharmacist,oncology,4,2,True,54,research_data,3,cardiology,False,14,True,remote,0,write,DENY
pharmacist,oncology,1,30,False,43,prescription,4,oncology,True,18,False,remote,15,delete,DENY
doctor,oncology,3,14,True,49,medical_image,5,oncology,True,13,True,hospital_network,11,read,ALLOW
researcher,research,2,10,True,27,research_data,3,research,False,12,True,remote,14,read,ALLOW
researcher,research,5,10,True,50,research_data,4,research,False,14,False,remote,15,read,ALLOW
patient,admin_office,3,18,True,64,medical_record,3,admin_office,True,11,False,remote,19,write,DENY
nurse,admin_office,3,8,True,62,medical_record,3,admin_office,False,12,False,hospital_network,10,write,DENY
nurse,admin_office,3,33,False,32,lab_result,3,admin_office,False,11,False,hospital_network,12,share,DENY
patient,cardiology,4,0,False,56,medical_record,4,general,True,21,False,remote,40,delete,DENY
nurse,research,1,39,False,61,lab_result,4,research,True,10,False,remote,1,share,DENY
researcher,research,1,15,True,46,research_data,2,research,False,14,False,remote,8,read,ALLOW
researcher,research,2,23,True,65,research_data,4,research,False,18,False,remote,6,write,DENY
doctor,cardiology,3,15,True,58,lab_result,2,admin_office,True,6,False,hospital_network,21,write,DENY
admin,admin_office,3,9,True,56,prescription,2,cardiology,True,0,True,remote,50,write,DENY
doctor,oncology,3,3,True,48,research_data,2,cardiology,True,11,False,hospital_network,28,write,DENY
doctor,admin_office,3,29,True,25,billing,2,research,True,15,False,remote,4,read,DENY
nurse,cardiology,2,17,False,46,lab_result,4,cardiology,True,18,False,hospital_network,17,write,DENY
researcher,research,4,21,False,47,research_data,3,research,False,15,False,hospital_network,2,read,ALLOW
researcher,research,3,8,True,59,research_data,4,research,False,8,False,remote,9,write,DENY
admin,admin_office,2,9,False,36,billing,4,admin_office,True,17,False,remote,19,write,DENY
admin,admin_office,1,11,False,41,prescription,3,cardiology,True,4,False,remote,4,write,DENY
doctor,cardiology,5,13,False,48,billing,2,oncology,True,23,False,office_network,38,read,DENY
nurse,oncology,5,3,True,39,billing,3,research,True,14,False,hospital_network,48,read,DENY
doctor,general,5,31,False,24,lab_result,3,general,True,12,False,hospital_network,9,read,ALLOW
pharmacist,research,2,8,False,56,prescription,3,research,True,14,False,office_network,0,read,ALLOW
patient,admin_office,4,36,False,62,medical_record,1,admin_office,True,9,False,office_network,13,write,DENY
admin,admin_office,5,5,False,41,billing,4,admin_office,True,16,False,hospital_network,6,share,DENY
pharmacist,oncology,2,6,True,38,prescription,2,oncology,True,15,False,office_network,18,write,DENY
admin,admin_office,3,40,False,31,billing,1,admin_office,True,9,False,remote,9,read,DENY
